Generation,AverageFitness,BestFitness,WorstFitness
0,42566.39,61510.00,26490.00
1,50946.38,69930.00,36130.00
2,58554.47,77790.00,42790.00
3,65688.74,82210.00,49170.00
4,72626.48,87630.00,56250.00
5,78544.98,92550.00,63930.00
6,83857.52,96230.00,72370.00
7,88449.05,99570.00,76850.00
8,92565.76,103290.00,80150.00
9,96426.53,104670.00,87910.00
10,99259.76,105320.00,90570.00
11,101172.07,105875.00,92830.00
12,102261.48,105875.00,93570.00
13,102914.84,106385.00,94550.00
14,103216.75,106385.00,95930.00
15,103615.99,106385.00,94770.00
16,103644.34,106385.00,95030.00
17,103615.41,106385.00,94390.00
18,103780.55,106385.00,95330.00
19,103830.96,106385.00,95530.00
20,103882.93,106385.00,95890.00
21,103910.16,106385.00,95130.00
22,103991.17,106385.00,95430.00
23,104053.52,106490.00,96930.00
24,103996.52,106490.00,97390.00
25,104113.31,106490.00,94910.00
26,104103.23,106490.00,93370.00
27,104155.26,106490.00,95130.00
28,104258.41,106490.00,95710.00
29,104224.15,106595.00,95950.00
30,104372.20,106610.00,95670.00
31,104301.38,106610.00,97210.00
32,104371.32,106610.00,94030.00
33,104365.95,106610.00,97250.00
34,104329.22,106610.00,96190.00
35,104376.90,106610.00,96990.00
36,104418.98,106640.00,97750.00
37,104385.52,106640.00,96370.00
38,104390.51,106640.00,97510.00
39,104379.67,106640.00,96710.00
40,104490.73,106640.00,96150.00
41,104510.57,106730.00,96650.00
42,104498.71,106730.00,96190.00
43,104429.88,106730.00,96690.00
44,104508.12,106730.00,98010.00
45,104496.08,106730.00,97390.00
46,104491.20,106730.00,97250.00
47,104503.70,106730.00,97650.00
48,104512.81,106820.00,96210.00
49,104435.20,106820.00,96170.00
50,104553.59,106820.00,96750.00
51,104430.87,106820.00,95450.00
52,104475.18,106820.00,97690.00
53,104496.88,106820.00,97010.00
54,104530.16,106820.00,95210.00
55,104447.23,106820.00,98150.00
56,104505.05,106820.00,96270.00
57,104493.32,106820.00,97030.00
58,104477.58,106820.00,96050.00
59,104588.81,106820.00,97190.00
60,104521.55,106820.00,95950.00
61,104601.83,106820.00,97150.00
62,104545.95,106820.00,96750.00
63,104559.38,106820.00,96450.00
64,104643.61,106820.00,97470.00
65,104566.07,106820.00,96470.00
66,104527.38,106820.00,95350.00
67,104578.70,106820.00,97110.00
68,104601.59,106820.00,98010.00
69,104639.50,106820.00,97270.00
70,104589.07,106820.00,97970.00
71,104558.66,106820.00,97950.00
72,104559.12,106820.00,97210.00
73,104499.08,106820.00,97690.00
74,104578.21,106820.00,96690.00
75,104679.44,106820.00,98390.00
76,104557.84,106820.00,95910.00
77,104571.12,106820.00,98050.00
78,104583.03,106820.00,96010.00
79,104569.90,106820.00,96090.00
80,104623.59,106820.00,98070.00
81,104650.54,106820.00,97830.00
82,104592.98,106820.00,95690.00
83,104545.05,106820.00,96110.00
84,104624.97,106820.00,97970.00
85,104525.92,106820.00,95970.00
86,104546.34,106820.00,97930.00
87,104575.76,106820.00,97550.00
88,104583.40,106820.00,97150.00
89,104444.66,106820.00,95650.00
90,104569.70,106820.00,98110.00
91,104501.88,106820.00,97370.00
92,104476.34,106820.00,97550.00
93,104587.80,106820.00,97590.00
94,104510.94,106820.00,96410.00
95,104477.52,106820.00,97070.00
96,104576.16,106820.00,95890.00
97,104567.60,106820.00,97090.00
98,104588.95,106820.00,97390.00
99,104575.07,106820.00,96210.00
100,104425.77,106820.00,97930.00
101,104413.87,106820.00,96970.00
102,104452.83,106820.00,97490.00
103,104561.22,106820.00,94290.00
104,104443.27,106820.00,97010.00
105,104443.87,106820.00,96070.00
106,104470.54,106820.00,96590.00
107,104438.23,106820.00,97010.00
108,104542.65,106820.00,97330.00
109,104446.80,106820.00,98050.00
110,104689.16,106820.00,98750.00
111,104505.88,106820.00,97070.00
112,104517.37,106820.00,97630.00
113,104463.91,106820.00,97390.00
114,104512.63,106820.00,97250.00
115,104396.68,106820.00,95110.00
116,104502.23,106820.00,96430.00
117,104591.42,106820.00,96510.00
118,104591.99,106820.00,97890.00
119,104580.91,106820.00,97870.00
120,104616.96,106820.00,97250.00
121,104559.68,106820.00,97630.00
122,104687.41,106820.00,98210.00
123,104685.19,106820.00,98390.00
124,104633.77,106820.00,95950.00
125,104523.13,106820.00,98290.00
126,104666.41,106820.00,94890.00
127,104681.92,106820.00,96890.00
128,104715.01,106820.00,98310.00
129,104620.91,106820.00,98670.00
130,104665.88,106820.00,96890.00
131,104605.27,106820.00,97310.00
132,104592.21,106820.00,97230.00
133,104599.90,106820.00,96830.00
